,id,date,percent
581,DS_11,20230908.0,1638867
582,DS_11,20230909.0,1632047
583,DS_11,20230910.0,1222563
584,DS_11,20230915.0,1550086
585,DS_11,20230922.0,1680817
586,DS_11,20230923.0,1640421
587,DS_11,20230924.0,1681671
588,DS_11,20230925.0,1688278
589,DS_11,20230926.0,1741793
590,DS_11,20231001.0,1728723
591,DS_11,20231002.0,1729065
592,DS_11,20231008.0,2025995
593,DS_11,20231011.0,1815199
594,DS_11,20231019.0,1870235
595,DS_11,20231025.0,1769952
596,DS_12,20230701.0,722660
597,DS_12,20230702.0,826474
598,DS_12,20230704.0,811735
599,DS_12,20230705.0,782031
600,DS_12,20230706.0,822957
601,DS_12,20230709.0,806650
602,DS_12,20230710.0,836852
603,DS_12,20230711.0,795702
604,DS_12,20230713.0,818701
605,DS_12,20230717.0,838652
606,DS_12,20230719.0,878314
607,DS_12,20230720.0,895938
608,DS_12,20230721.0,959147
609,DS_12,20230722.0,965627
610,DS_12,20230723.0,954467
611,DS_12,20230725.0,932326
612,DS_12,20230726.0,886774
613,DS_12,20230727.0,980202
614,DS_12,20230730.0,1009681
615,DS_12,20230731.0,1008715
616,DS_12,20230801.0,1015134
617,DS_12,20230802.0,1077911
618,DS_12,20230805.0,1081041
619,DS_12,20230806.0,1097187
620,DS_12,20230810.0,954482
621,DS_12,20230811.0,1065509
622,DS_12,20230815.0,1122591
623,DS_12,20230818.0,992211
624,DS_12,20230820.0,1162827
625,DS_12,20230822.0,1264948
626,DS_12,20230823.0,1204891
627,DS_12,20230824.0,1211092
628,DS_12,20230826.0,2095538
629,DS_12,20230828.0,1234293
630,DS_12,20230829.0,1245439
631,DS_12,20230830.0,1320648
632,DS_12,20230901.0,1149456
633,DS_12,20230902.0,1234606
634,DS_12,20230903.0,1333558
635,DS_12,20230906.0,1638542
636,DS_12,20230907.0,2056976
637,DS_12,20230908.0,1401916
638,DS_12,20230910.0,1440891
639,DS_12,20230911.0,1726435
640,DS_12,20230915.0,1514589
641,DS_12,20230916.0,1466059
642,DS_12,20230921.0,2487451
643,DS_12,20230922.0,1529465
644,DS_12,20230923.0,1625312
645,DS_12,20230924.0,1545912
646,DS_12,20230925.0,1589284
647,DS_12,20230926.0,1565829
648,DS_12,20230927.0,1646902
649,DS_12,20231008.0,1643264
650,DS_12,20231011.0,2113169
651,DS_12,20231014.0,2815857
652,DS_12,20231016.0,2052916
653,DS_12,20231017.0,1996458
654,DS_12,20231021.0,1718929
655,DS_12,20231025.0,1691565
656,DS_12,20231028.0,1774835
657,DS_12,20231029.0,1685822
658,DS_13,20230701.0,1194439
659,DS_13,20230702.0,1298189
660,DS_13,20230703.0,1193533
661,DS_13,20230708.0,1291056
662,DS_13,20230710.0,1345283
663,DS_13,20230711.0,1381368
664,DS_13,20230712.0,1438617
665,DS_13,20230717.0,1418551
666,DS_13,20230719.0,1444683
667,DS_13,20230720.0,1556125
668,DS_13,20230724.0,1508697
669,DS_13,20230725.0,1478732
670,DS_13,20230727.0,1545783
671,DS_13,20230728.0,1569263
672,DS_13,20230729.0,1715085
673,DS_13,20230730.0,1670898
674,DS_13,20230731.0,1755346
675,DS_13,20230801.0,1528858
676,DS_13,20230802.0,1569349
677,DS_13,20230806.0,1615436
678,DS_13,20230809.0,1626466
679,DS_13,20230810.0,1692147
680,DS_13,20230812.0,1887102
681,DS_13,20230820.0,1928355
682,DS_13,20230822.0,1805501
683,DS_13,20230823.0,1944412
684,DS_13,20230828.0,1943596
685,DS_13,20230829.0,1890870
686,DS_13,20230904.0,2096815
687,DS_13,20230908.0,2074632
688,DS_13,20230909.0,2197408
689,DS_13,20230914.0,2006136
690,DS_13,20230915.0,2084531
691,DS_13,20230916.0,2115594
692,DS_13,20230919.0,2250497
693,DS_13,20230922.0,1966555
694,DS_13,20230923.0,2106626
695,DS_13,20230925.0,2168768
696,DS_13,20230928.0,2278885
697,DS_13,20231004.0,2211902
698,DS_13,20231009.0,2383297
699,DS_13,20231013.0,2554489
700,DS_13,20231021.0,2317562
701,DS_13,20231029.0,2462694
702,DS_14,20230701.0,1676648
703,DS_14,20230702.0,1750272
704,DS_14,20230703.0,1681523
705,DS_14,20230704.0,1705757
706,DS_14,20230705.0,1678313
707,DS_14,20230708.0,1716696
708,DS_14,20230710.0,1786027
709,DS_14,20230711.0,1787888
710,DS_14,20230712.0,1741126
711,DS_14,20230714.0,1779409
712,DS_14,20230720.0,1808442
713,DS_14,20230721.0,1846114
714,DS_14,20230726.0,1844303
715,DS_14,20230728.0,1856204
716,DS_14,20230729.0,2089890
717,DS_14,20230730.0,1934457
718,DS_14,20230731.0,1923074
719,DS_14,20230802.0,1936093
720,DS_14,20230805.0,1846728
721,DS_14,20230806.0,1922168
722,DS_14,20230817.0,2101270
723,DS_14,20230819.0,2055044
724,DS_14,20230822.0,2047512
725,DS_14,20230828.0,2171518
726,DS_14,20230901.0,2026373
727,DS_14,20230907.0,2317609
728,DS_14,20230908.0,2290004
729,DS_14,20230909.0,2283198
730,DS_14,20230913.0,2019627
731,DS_14,20230915.0,2360875
732,DS_14,20230919.0,2347961
733,DS_14,20230922.0,2219439
734,DS_14,20230923.0,2216551
735,DS_14,20230926.0,2417352
736,DS_14,20230929.0,2404862
737,DS_14,20231001.0,2472909
738,DS_14,20231005.0,2464881
739,DS_14,20231007.0,2701139
740,DS_14,20231013.0,2705236
741,DS_14,20231018.0,2512831
742,DS_14,20231021.0,2567026
743,DS_14,20231024.0,2531655
744,DS_14,20231029.0,2697848
745,DS_15,20230701.0,2828875
746,DS_15,20230703.0,2832118
747,DS_15,20230704.0,2849681
748,DS_15,20230705.0,2832261
749,DS_15,20230708.0,2804597
750,DS_15,20230709.0,2920958
751,DS_15,20230710.0,2819823
752,DS_15,20230711.0,2861409
753,DS_15,20230712.0,2858805
754,DS_15,20230713.0,2853301
755,DS_15,20230717.0,2956913
756,DS_15,20230720.0,2901358
757,DS_15,20230721.0,2926478
758,DS_15,20230722.0,3024652
759,DS_15,20230723.0,2980633
760,DS_15,20230725.0,2969208
761,DS_15,20230726.0,2957061
762,DS_15,20230728.0,3010962
763,DS_15,20230802.0,3029650
764,DS_15,20230805.0,3046633
765,DS_15,20230811.0,3043475
766,DS_15,20230818.0,3171507
767,DS_15,20230822.0,3083820
768,DS_15,20230823.0,3336811
769,DS_15,20230825.0,3178237
770,DS_15,20230828.0,3214538
771,DS_15,20230829.0,3187537
772,DS_15,20230830.0,3178266
773,DS_15,20230901.0,3206115
774,DS_15,20230903.0,3191997
775,DS_15,20230904.0,3210379
776,DS_15,20230909.0,3278717
777,DS_15,20230910.0,3407565
778,DS_15,20230913.0,3345457
779,DS_15,20230914.0,3357270
780,DS_15,20230915.0,3435909
781,DS_15,20230923.0,3236955
782,DS_15,20230924.0,3373415
783,DS_15,20230925.0,3374219
784,DS_15,20230928.0,3521979
785,DS_15,20230929.0,3378155
786,DS_15,20231001.0,3890409
787,DS_15,20231004.0,3515705
788,DS_15,20231007.0,3782915
789,DS_15,20231008.0,3695367
790,DS_15,20231009.0,3507021
791,DS_15,20231013.0,3442117
792,DS_15,20231018.0,3448463
793,DS_15,20231021.0,3491251
794,DS_15,20231028.0,4269343
795,DS_15,20231029.0,3616791
796,DS_16,20230701.0,1057558
797,DS_16,20230702.0,1071520
798,DS_16,20230703.0,1036819
799,DS_16,20230704.0,1160015
800,DS_16,20230705.0,1104605
801,DS_16,20230706.0,1128051
802,DS_16,20230708.0,1184152
803,DS_16,20230709.0,1209035
804,DS_16,20230710.0,1169811
805,DS_16,20230712.0,1180899
806,DS_16,20230713.0,1206573
807,DS_16,20230714.0,1196563
808,DS_16,20230717.0,1239006
809,DS_16,20230720.0,1297215
810,DS_16,20230721.0,1306575
811,DS_16,20230722.0,1324007
812,DS_16,20230723.0,1311294
813,DS_16,20230724.0,1313886
814,DS_16,20230725.0,1206394
815,DS_16,20230727.0,1236994
816,DS_16,20230729.0,1368792
817,DS_16,20230730.0,1302936
818,DS_16,20230731.0,1301430
819,DS_16,20230802.0,1293372
820,DS_16,20230806.0,1354348
821,DS_16,20230807.0,1336107
822,DS_16,20230811.0,1237263
823,DS_16,20230812.0,1436765
824,DS_16,20230814.0,1354222
825,DS_16,20230817.0,1390933
826,DS_16,20230818.0,1484767
827,DS_16,20230819.0,1341922
828,DS_16,20230822.0,1402767
829,DS_16,20230825.0,1447178
830,DS_16,20230828.0,1533570
831,DS_16,20230829.0,1466228
832,DS_16,20230830.0,1470302
833,DS_16,20230901.0,1557614
834,DS_16,20230903.0,1485042
835,DS_16,20230904.0,1501561
836,DS_16,20230907.0,1618822
837,DS_16,20230908.0,1609950
